Wavelength;SR;SG;SB;E_R;E_G;E_B
380.22592;0.00244859194977475;0.0017449402501445474;0.0031354104004918805;6.21213253222806;6.056645803183794;2.0867894311463537
380.95211;0.0021542030711494834;0.0016538400519133575;0.002810105905392618;7.688860001016325;6.910992040591197;2.4673573475046116
381.6783;0.0021299125877548976;0.001722506772210436;0.0025673038521718708;7.133443995554307;5.5541205502323345;2.326378220350102
382.40449;0.0021739716215249012;0.0017180645303906475;0.002336403838048212;8.473959484064745;6.031255526661598;2.820922701224841
383.13068;0.00214884250257692;0.001638387796421933;0.0023132973063761104;6.916454378799758;6.658717605445523;3.354602745977443
383.85687;0.002070816811761108;0.0015420409559920004;0.002483795862185588;4.567416744402283;4.943207196422511;2.2879858405350366
384.5830600000001;0.001975493708318172;0.001459455734664954;0.0027586070584836135;5.5220006554291325;5.817691087627994;2.2198907578380416
385.30925;0.0018074367076854336;0.0013179448125482998;0.0031006423010113944;7.188499171537907;7.784296369654058;1.7821521770660012
386.0354400000001;0.0016845106317769222;0.0012181530618912493;0.003527944256768048;7.132217464324891;6.275328750074975;1.256705685348621
386.76163;0.0016432443322856234;0.0011903169431937467;0.004644408353983761;9.714277467164763;7.986972440709863;1.2866843011872826
387.48782000000006;0.0016834760494474118;0.001103143835880136;0.004838956685187775;6.985900321151855;7.502304482608119;1.1951579432427655
388.21401;0.0020894908240268284;0.001131517488805451;0.004894297059685711;5.525102878301846;7.745195199674526;0.9590411449418998
388.9402;0.0026889949620238535;0.0011443168901170383;0.004803521964702374;3.6541633982144464;5.746266262135951;0.749713399444727
389.66639;0.003438854876065014;0.0011203032870838788;0.005011628163040842;2.8580014652435146;5.317546001752991;0.598611920756616
390.39258;0.0042476893504206316;0.0010546536414197485;0.005490389673892887;2.414140756520022;7.142453831621308;1.96082401940646
391.11877;0.0054087472666276;0.0011146719770527814;0.007077529467328427;1.8353341799037792;6.387655400192164;0.9195584441676449
391.84496;0.00666374653111986;0.0011135874568314397;0.010155862105727595;1.491816382203599;6.915905986931846;0.5986456893554071
