Wavelength,Total
"353,509","0,562900390509786"
"353,803","0,555972135696891"
"354,097","0,587300110484386"
"354,391","0,602979883436737"
"354,685","0,592495999051626"
"354,979","0,570461321377364"
"355,272","0,582634175375141"
"355,566","0,557313136052369"
"355,86","0,559554718579022"
"356,154","0,558502132196162"
"356,448","0,591207869625331"
"356,742","0,554590430578774"
"357,036","0,562443127593937"
"357,329","0,569527223840466"
"357,623","0,568679480890158"
"357,917","0,56806349843372"
"358,21","0,571003919860628"
"358,504","0,579736072000442"
"358,798","0,56249796714913"
"359,092","0,567399220596692"
"359,385","0,527289672649591"
"359,679","0,585117205255297"
"359,972","0,569302228484944"
"360,266","0,564324602392078"
"360,56","0,569470101081384"
"360,853","0,570001573894339"
"361,147","0,528066823835461"
"361,44","0,550505913205993"
"361,734","0,581953818827709"
"362,027","0,547667082022983"
"362,321","0,547369423415702"
"362,614","0,552062484744936"
"362,907","0,568168337805395"
"363,201","0,547357860164879"
"363,494","0,551857962428288"
"363,788","0,554061429593104"
"364,081","0,551161525182016"
"364,374","0,565138990385984"
"364,668","0,529262251141469"
"364,961","0,563593721811293"
"365,254","0,547736285214908"
"365,547","0,552486502927535"
"365,841","0,543722132288206"
"366,134","0,52475457436512"
"366,427","0,569646667355974"
"366,72","0,550258940968965"
"367,013","0,564209954276291"
"367,306","0,55626961867791"
"367,6","0,545628258167449"
"367,893","0,576271662500351"
"368,186","0,540739720998532"
"368,479","0,536498838966496"
"368,772","0,527092600080873"
"369,065","0,529089714577706"
"369,358","0,564024533865968"
"369,651","0,570139550524015"
"369,944","0,563984752886793"
"370,237","0,537838759947255"
"370,53","0,538101968609409"
"370,823","0,557100071309722"
"371,116","0,546471471471472"
"371,408","0,564578405616895"
"371,701","0,55352201198863"
"371,994","0,553283836736224"
"372,287","0,560762247020995"
"372,58","0,550291008986357"
"372,873","0,562354469131222"
"373,165","0,547453088113167"
"373,458","0,545644018340976"
"373,751","0,537190695604609"
"374,043","0,544778359314912"
"374,336","0,544868380477138"
"374,629","0,54996909707265"
"374,922","0,548566402495421"
"375,214","0,542715296436441"
"375,507","0,551048549799174"
"375,799","0,551312851530483"
"376,092","0,560100527016636"
"376,384","0,546136610853377"
"376,677","0,546794753371513"
"376,97","0,547174689950041"
"377,262","0,571915807722022"
"377,554","0,52885931943283"
"377,847","0,55999417090187"
"378,139","0,543820888046084"
"378,432","0,553172854666281"
"378,724","0,533725980233666"
"379,017","0,562698512390762"
"379,309","0,551869570142647"
"379,601","0,551228402324985"
